,Real Name,Weight and Height,Birthplace,Date of Birth,Debut,wrestler_name,Date of Death,Height,Weight
10316,unknown,141 lbs. (64 kg) at 5'4'' (1.63 m),San Juan (Puerto Rico),3rd November 1988 (age 33),29th April 2008 (13 years ago),Zeuxis ,,,
159,Carmel Macklin,112 lbs. (51 kg) at 5'7'' (1.70 m),"Pittsburgh, Pennsylvania (United States of America)",2nd March 1975 (age 47),1999,Miss Jones ,,,
1140,Todd Shane,304 lbs. (138 kg) at 6'5'' (1.96 m),"Galesburg, Illinois (United States of America)",1967,1998,Jesse Gymini,,,
1769,Norberto Salgado Salcedo,214 lbs. (97 kg) at 5'11'' (1.80 m),"Cuernavaca, Morelos (Mexico)",10th March 1958 (age 64),1st July 1984 (37 years ago),Pierroth,,,
881,Victor Santiago,325 lbs. (147 kg) at 5'11'' (1.80 m),"New York City, New York (United States of America)",11th August 1968 (age 53),1987,Head Hunter A,,,
5610,unknown,234 lbs. (106 kg) at 6'2'' (1.88 m),"Leeds, West Yorkshire, England (United Kingdom)",14th December 1984 (age 37),,Prince Mohmed Ameen,,,
850,Johnathan Michael Toland,220 lbs. (100 kg) at 5'9'' (1.75 m),"Atlantic City, New Jersey (United States of America)",31st August 1978 (age 43),??th March 2001,Tank Toland,,,
68,Jerome Young,240 lbs. (109 kg) at 6'0'' (1.83 m),"Atlanta, Georgia (United States of America)",3rd January 1963,1993,New Jack,14th May 2021,,
741,Carmelo Reyes González,225 lbs. (102 kg) at 6'0'' (1.83 m),"Lagos de Moreno, Jalisco (Mexico)",18th October 1949 (age 72),1974,Cien Caras,,,
563,Ron Reis,365 lbs. (166 kg) at 7'2'' (2.18 m),"San José, California (United States of America)",26th April 1970 (age 51),12th March 1994 (27 years ago),Reese,,,
2858,Melissa Coates,145 lbs. (66 kg) at 5'5'' (1.65 m),"Los Angeles, California (United States of America)",18th June 1969,2002,Melissa Coates ,23rd June 2021,,
2187,Kathy Dingman,147 lbs. (67 kg) at 5'9'' (1.75 m),Alabama (United States of America),,??th June 1998,Taylor Vaughn ,,,
1139,Mike Shane,304 lbs. (138 kg) at 6'4'' (1.93 m),"Galesburg, Illinois (United States of America)",21st December 1967 (age 54),1998,Jake Gymini,,,
271,unknown,325 lbs. (147 kg) at 6'5'' (1.96 m),"Los Angeles, California (United States of America)",,,Kraq,,,
274,Steve Coombs,230 lbs. (104 kg) at 6'3'' (1.91 m),"Camden, New Jersey (United States of America)",,29th March 1995 (26 years ago),Steve Rizzono,,,
4673,Peter Minnema,190 lbs. (86 kg) at 5'7'' (1.70 m),"Calgary, Alberta (Canada)",15th December 1985 (age 36),2001,Pete Wilson,,,
6251,Luther Biggs,,"Nashville, Tennessee (United States of America)",,1995,Disgraceland,,,
1851,Thomas Leroy Kasat,265 lbs. (120 kg) at 6'4'' (1.93 m),"St. Paul, Minnesota (United States of America)",24th March 1956,,Teijho Khan,10th April 2020,,
901,Enrique Vera Rodríguez,220 lbs. (100 kg) at 6'0'' (1.83 m),"Guadalajara, Jalisco (Mexico)",21st October 1948 (age 73),24th February 1968 (54 years ago),Enrique Vera,,,
1410,Randy Thornton,325 lbs. (147 kg) at 6'7'' (2.01 m),"New Orleans, Louisiana (United States of America)",,3rd May 1991 (30 years ago),Swoll,,,
1948,Dana Pallotta,95 lbs. (43 kg) at 4'11'' (1.50 m),New Jersey (United States of America),,26th June 2003 (18 years ago),Dana Dameson,,,
1989,Danyl Greenberg,180 lbs. (82 kg) at 5'8'' (1.73 m),"Los Angeles, California (United States of America)",29th September 1984 (age 37),12th April 2003 (18 years ago),Bino Gambino,,,
2113,Lenny Ornstein,,"Los Angeles, California (United States of America)",28th June ???,1963,Lenny Solomon,,,
3485,Ferris Anthony,302 lbs. (137 kg) at 6'5'' (1.96 m),"Antioch, California (United States of America)",,,Earthquake Ferris,,,
