,Real Name,Weight and Height,Birthplace,Date of Birth,Debut,wrestler_name,Date of Death,Height,Weight
11832,Chase Beebe,135 lbs. (61 kg) at 5'7'' (1.70 m),"Chicago, Illinois (United States of America)",29th March 1985 (age 36),30th July 2005 (16 years ago),Chase Beebe,,,
11959,Christopher Horodecki,155 lbs. (70 kg) at 5'8'' (1.73 m),"London, Ontario (Canada)",24th September 1987 (age 34),30th September 2005 (16 years ago),Chris Horodecki,,,
12103,unknown,120 lbs. (54 kg) at 5'7'' (1.70 m),Canada,13th July 1992 (age 29),25th January 2009 (13 years ago),Holly Hilton ,,,
12459,Charles Lewis Jr.,,United States of America,1964,,Mask,11th March 2009,,
12705,Hitomi Akano,135 lbs. (61 kg) at 5'4'' (1.63 m),"Osaka, Osaka (Japan)",27th July 1974 (age 47),26th November 2004 (17 years ago),Hitomi Akano ,,,
12733,Blake Albright,210 lbs. (95 kg) at 6'2'' (1.88 m),"Tulsa, Oklahoma (United States of America)",18th February 1987 (age 35),17th November 2007 (14 years ago),Blake Albright,,,
12966,Jessica Penne,115 lbs. (52 kg) at 5'5'' (1.65 m),"Laguna Hills, California (United States of America)",30th January 1983 (age 39),18th November 2006 (15 years ago),Jessica Penne ,,,
13079,unknown,250 lbs. (113 kg) at 5'10'' (1.78 m),"Montréal, Quebec (Canada)",27th February 1928,,Eddie Creatchman,9th March 1994,,
14436,unknown,,"Mansfield, Nottinghamshire, England (United Kingdom)",,6th March 2009 (13 years ago),Chris Holmes,,,
14858,Robert William Barker,,"Darrington, Washington (United States of America)",12th December 1923 (age 98),,Bob Barker,,,
15487,unknown,160 lbs. (73 kg) at 5'10'' (1.78 m),United Kingdom,13th May ???,,Air Anderson,,,
15930,unknown,215 lbs. (98 kg) at 6'0'' (1.83 m),"Detroit, Michigan (United States of America)",,,Tommy Treznik,,,
16068,unknown,165 lbs. (75 kg) at 5'8'' (1.73 m),"Tokyo, Tokyo (Japan)",4th August 1988 (age 33),,Soma Takao,,,
16074,unknown,,"Paisley, Renfrewshire, Scotland (United Kingdom)",,7th November 2009 (12 years ago),Andy Anderson,,,
16673,unknown,,"Normal, Illinois (United States of America)",25th October 1987 (age 34),,CJ Esparza,,5'7'' (1.70 m),
16682,unknown,,"Normal, Illinois (United States of America)",1986,,Brett Gakiya,,,260 lbs. (118 kg)
17167,unknown,224 lbs. (102 kg) at 6'1'' (1.85 m),Massachusetts (United States of America),3rd June 1985 (age 36),,Aleksander Chekov,,,
