,Real Name,Weight and Height,Birthplace,Date of Birth,Debut,wrestler_name,Date of Death,Height,Weight
5909,unknown,150 lbs. (68 kg) at 5'6'' (1.68 m),"Chicago, Illinois (United States of America)",6th November ???,1996,Dave Prazak,,,
11148,unknown,158 lbs. (72 kg) at 6'0'' (1.83 m),"Monclova, Coahuila de Zaragoza (Mexico)",20th November 1988 (age 33),9th July 2008 (13 years ago),El Hijo de L.A. Par-K,,,
444,Matthew Lee Cappotelli,218 lbs. (99 kg) at 6'0'' (1.83 m),"Caledonia, New York (United States of America)",12th November 1979,27th January 2003 (19 years ago),Matt Cappotelli,29th June 2018,,
3758,Daniel Head,163 lbs. (74 kg) at 5'10'' (1.78 m),"Portsmouth, Hampshire, England (United Kingdom)",,25th January 2003 (19 years ago),Dan Head,,,
7479,Alex Zikos,185 lbs. (84 kg) at 5'10'' (1.78 m),"Southampton, New York (United States of America)",,27th January 2007 (15 years ago),Alex Reynolds,,,
8371,Alexander Cooper,150 lbs. (68 kg) at 5'5'' (1.65 m),"Knutsford, Cheshire, England (United Kingdom)",16th June 1990 (age 31),,Xander Cooper,,,
20544,Brian Winbush,195 lbs. (88 kg) at 5'8'' (1.73 m),California (United States of America),,24th August 2008 (13 years ago),Famous B,,,
21040,Michael Cuellari,238 lbs. (108 kg) at 6'1'' (1.85 m),"Newark, New Jersey (United States of America)",16th July 1985 (age 36),4th June 2004 (17 years ago),QT Marshall,,,
26094,Sam Udell,245 lbs. (111 kg) at 6'5'' (1.96 m),"Colorado Springs, Colorado (United States of America)",20th March ???,,Dak Draper,,,
752,Yoshinari Ogawa,198 lbs. (90 kg) at 5'11'' (1.80 m),"Toride, Ibaraki (Japan)",2nd November 1966 (age 55),3rd September 1985 (36 years ago),Yoshinari Ogawa,,,
4367,unknown,240 lbs. (109 kg) at 5'11'' (1.80 m),"Tulsa, Oklahoma (United States of America)",2nd June ???,1999,Brandon Groom,,,
5453,Corey Bektas,171 lbs. (78 kg) at 5'7'' (1.70 m),"Rochester, New York (United States of America)",16th October 1986 (age 35),2001,Jimmy Olsen,,,
5677,Jonathan Ryan,230 lbs. (104 kg) at 5'10'' (1.78 m),"Maidstone, Kent, England (United Kingdom)",16th April 1980 (age 41),1998,Jon Ryan,,,
